"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27"
"D3.4",0.251548359550306,0.22916962006898,0.0290634339212633,-0.0547826565298589,-0.157206397439677,-0.207796617669038,0.0213659981499063,0.176015386523038,-0.113936099289888,0.0480448430079228,0.0216848869727599,-0.0488604417240231,-0.264361786801233,-0.094426117016391,-0.315076638233939,-0.0982428426034204,0.232549910406771,-0.0520216536051426,0.0989311578156341,-0.209374799651451,-0.367607664121281,-0.248695552182383,0.0796350473547441,-0.214403715253677,0.279427797387919,0.0862389740939325,0.360455897322611
"D3.5",0.211401378869966,-0.230682019444683,-0.0823687182140995,-0.0482654687579889,-0.115748472390043,0.197082600380623,0.00914995638432752,-0.242021878360857,0.0929821688230136,-0.134215056349075,-0.0357544238964005,-0.239458046133222,0.619516627045304,-0.313123963269289,-0.296820580213132,-0.00311817943486055,-0.0327534232249563,0.0367469399664828,0.0122054680356917,-0.26887950224481,0.0340261918958819,0.000262384665043933,0.112128544480122,0.0698847119437297,0.0696308332342713,0.0232509311497419,0.167254613361591
"D3.6",0.301981864424896,0.167832112268401,0.00136141688910162,0.126637343945189,-0.0642600589061619,-0.044757614669741,0.0442719592519066,0.0613191148250079,-0.0261079371686279,-0.131265561185107,-0.144093011515903,0.118919949037927,-0.0757727841533993,-0.238434767219104,-0.20278402309054,0.22024287144724,-0.127200786819432,-0.23198293100107,-0.0105554994048919,0.0519709426669559,-0.162177944189583,0.00709265319573963,-0.0187742857745907,0.251430056682929,-0.0281174193062958,-0.604492250005072,-0.344642339519168
"D4.5",0.280783113395064,-0.131731345166014,0.0331356474662162,-0.208365678419044,-0.162288626811696,-0.195499801366958,0.0164002231905113,-0.164020294758725,-0.0465213139066774,0.174860460490728,0.10247334203829,0.0254378544569926,0.080217550107137,0.0108974765568021,0.085730493656274,-0.131293767356038,0.0117856180759393,0.53101654666127,-0.139754113597902,0.0213776325049652,-0.231480581060387,-0.30666327002389,-0.142158365314016,-0.0823965906895372,-0.118309024527657,0.0181526079818161,-0.44886340665155
"D4.6",0.159742808167433,-0.0879066552644231,0.131493044265659,-0.207214218845844,-0.433184116999899,-0.0640556653736957,0.413965801196521,-0.102508344672803,-0.142738263460189,0.3192015434432,-0.112872442966908,0.0822172211105208,-0.121764231545388,-0.0417428885421438,0.254405874850746,0.250631077946885,-0.132063293540172,-0.0597443589748357,-0.183282953693334,-0.0656079186112501,0.238579695733295,0.105333188111329,-0.000226193486948287,0.202063807722552,0.10903992918746,0.0174430352250756,0.259001884257753
"D5.6",0.323055182746525,-0.0210531963078378,-0.0191844530468719,0.0601533100970938,0.123262417619487,-0.141517834259971,-0.135957668727108,-0.101226989687348,0.0869932606764224,-0.08060621773802,0.0360548433219057,0.224086356883496,0.114682994383565,0.0440304484581577,0.0431728981610434,0.0192915664632384,-0.122801505391872,0.218225700949189,-0.0230650089880125,0.548444927830127,-0.186322313511613,0.152152775708993,-0.0109991394265967,0.0443938235380853,-0.13942808074804,-0.0868125646362434,0.541650432005459
"D5.7",0.0658533522988025,-0.204759076056677,-0.207589604742818,0.189928779685176,0.266065176074615,0.254057561449772,0.237088634526744,-0.0515413311025852,0.206503805253498,0.236243083685995,-0.486686754759115,-0.258004154323187,-0.379144320210467,-0.0473739892294966,-0.179905153464077,-0.0339791569943672,0.0472441316268254,0.238412832886803,-0.0437092550930009,0.0779644386955078,-0.0107919673646519,-0.11477755818481,0.00656879540355764,0.0919799731661964,-0.0808246226200924,0.0161844202963811,0.0575959296574395
"D5.8",0.301068750218194,0.0844021189616449,0.0857119276861047,0.137015851302063,0.0351423754868893,0.207380974819093,0.187119344092255,0.00483433331659047,0.138963396761519,-0.066711173702521,-0.155885365307849,0.139558372277408,0.0541069138742512,0.140907028064571,0.181227715075754,-0.122439222434968,0.0146670841568438,0.107004754207271,-0.067096560596848,-0.11894752961229,-0.00193077952914224,0.435714189049315,0.11563058882971,-0.553988737260003,0.291474459632081,-0.108260323503975,-0.146840555641469
"D6.7",0.264763616986225,-0.159807793268022,-0.13757024402696,0.0329428931537209,0.24486189086398,-0.168084186871534,-0.206770707169945,-0.149310905201891,0.0338513358225631,-0.0374478695477796,-0.00404031769532714,0.220944092228511,-0.0546357945099293,0.0462949243654575,0.00349492535335449,-0.0020455902112525,0.111781956591536,-0.122826946122848,-0.088526345059741,0.113626772471935,0.289038092129581,-0.167921534422903,0.117860097514419,0.245204104356023,0.604899669971507,0.212079502132293,-0.17204695420255
"D6.8",0.156584545495151,-0.177948349046125,-0.2587105759421,0.00339146122636018,0.35431039847429,-0.293877153056688,-0.0487959385756031,-0.173203969015694,-0.0521643591765687,-0.0126705865857472,0.177763792013324,0.148527104896486,-0.206955631757573,-0.137633684682493,0.0697855576820023,0.0539942925518938,-0.0328230546954725,-0.10165676333689,-0.203823299627069,-0.502995331279148,0.110635507386641,0.0935904977042137,-0.0209040480866462,-0.175728371773142,-0.35373470831647,-0.0885127420062284,0.123500699062973
