"","体长","头长","吻长","体高","尾柄长","尾柄高","眼球直径","D1.2","D1.3","D1.4","D2.4","D3.4","D3.5","D3.6","D4.5","D4.6","D5.6","D5.7","D5.8","D6.7","D6.8","D7.8","D7.9","D7.10","D8.9","D8.10","D9.10","group"
"TY7",0.775077881619938,0.247085002225189,0.0719181130396084,0.2456608811749,0.112505562972853,0.0914997774810859,0.0611481975967957,0.309568313306631,0.103248776145972,0.243524699599466,0.198664886515354,0.324610591900312,0.19652870493992,0.247797062750334,0.494348019581664,0.221984868713841,0.332710280373832,0.0766355140186916,0.168135291499777,0.361103693813974,0.307165109034268,0.119003115264798,0.107966177125056,0.154517133956386,0.136893635959057,0.093902981753449,0.100667556742323,"TY"
"TY8",0.805954249831801,0.244897959183674,0.075969948418928,0.276911863646558,0.110731105629065,0.103891006952231,0.0515250056066383,0.293058981834492,0.149585108768782,0.234469612020632,0.205819690513568,0.353330343126261,0.204530163713837,0.275902668759812,0.516034985422741,0.25224265530388,0.335893698138596,0.0679524557075578,0.173861852433281,0.355797263960529,0.29047992823503,0.131643866337744,0.115048217089033,0.168030948643194,0.183505270239964,0.123121776183001,0.137082305449652,"TY"
"TY9",0.804634391440563,0.246438493822782,0.0614766211503222,0.286280073299048,0.107170302063014,0.111544600106402,0.0543240527280251,0.301885677129515,0.139445528166933,0.249748773423184,0.215404622569013,0.343737069220311,0.203109298338949,0.276763019447893,0.510965301176331,0.250931016137613,0.341904593012946,0.0692203109298339,0.174558136785482,0.364603653129988,0.304427498965538,0.130756044215878,0.108884553998936,0.168587811077614,0.174676361056925,0.114322870485311,0.143878938346042,"TY"
"TY10",0.790935302746725,0.257878496636148,0.085892053214629,0.240831605038191,0.108098538115231,0.101826091355152,0.0591835702362284,0.313925843492337,0.14765542010218,0.243057311953058,0.237493044665891,0.342253022408822,0.169710152258587,0.246851130557944,0.497243158480449,0.191663715918863,0.344023471091102,0.0694521725934544,0.165359906924984,0.36982143760433,0.332338509788052,0.115635591076939,0.104759977742931,0.158834538924579,0.164904648692397,0.0976275987657444,0.124690171480601,"TY"
"TY11",0.778250798221999,0.238089275652664,0.082827271019846,0.268766042697051,0.0939710761910724,0.100356852188067,0.0484567708007262,0.295686470919677,0.146372002754648,0.225505540599762,0.202842296375133,0.34057471983973,0.212170537782508,0.269642521755462,0.498466161647781,0.221248356601765,0.332623802667001,0.0706191698491204,0.165591936392663,0.350591623364427,0.294997808802354,0.117698616415201,0.104739247480123,0.161397358041695,0.163713766981782,0.111563263006323,0.12364615288299,"TY"
"TY12",0.809151670951157,0.252956298200514,0.075012853470437,0.257892030848329,0.10025706940874,0.1026735218509,0.0463239074550129,0.296760925449871,0.158920308483291,0.232596401028278,0.239794344473008,0.34133676092545,0.208894601542416,0.248946015424165,0.513676092544987,0.230025706940874,0.329717223650386,0.0646272493573265,0.164061696658098,0.353110539845758,0.303290488431877,0.116606683804627,0.106426735218509,0.162982005141388,0.159588688946015,0.116246786632391,0.124678663239075,"TY"
"TY13",0.785893235690885,0.260422689021648,0.0780497205627289,0.268388257210766,0.10567225541209,0.107021262927989,0.0486285090255027,0.312969743688572,0.138112674246804,0.246418706237554,0.213849810496563,0.339179032568896,0.195541851352219,0.26562600372583,0.493158604740798,0.218089548403674,0.337637309693583,0.0764437592342776,0.184814029678165,0.353696922978095,0.283355816791932,0.13297359799576,0.106057686130918,0.166441832080683,0.16425772467399,0.107085501381127,0.132716644183208,"TY"
"TY14",0.784941231234726,0.253403933434191,0.0741301059001513,0.255673222390318,0.0989759106249273,0.0996741533806587,0.0565576632142442,0.302164552542767,0.13831025253113,0.238100779704411,0.221226579774235,0.329919702083091,0.197544512975678,0.250785523100198,0.486791574537414,0.202490399162109,0.332654486209706,0.0722099383218899,0.162108693122309,0.359071337134877,0.311241708367276,0.116839287792389,0.100837891306878,0.158268357965786,0.15541720004655,0.110496916094496,0.118177586407541,"TY"
"TY15",0.791713048855906,0.240692640692641,0.0719233147804576,0.270439084724799,0.111317254174397,0.100185528756957,0.0476808905380334,0.282807668521954,0.15899814471243,0.225231910946197,0.219851576994434,0.330612244897959,0.21595547309833,0.268398268398268,0.496969696969697,0.216883116883117,0.337229437229437,0.0684601113172542,0.174891774891775,0.35974025974026,0.30995670995671,0.128138528138528,0.1139146567718,0.168274582560297,0.164254792826221,0.111193568336425,0.113419913419913,"TY"
"TY16",0.777631509662472,0.210046864304144,0.0534990258543521,0.258806803222579,0.124216734242536,0.1002580169554,0.0497077563056184,0.274761729240166,0.151282186298773,0.220209572955611,0.194249907851087,0.333368437681007,0.201885103470065,0.254857564109315,0.499605076088674,0.217471433837081,0.336106576799537,0.0595545258280238,0.160865673213628,0.361381707124427,0.298615133484282,0.123268916855353,0.122847664683271,0.159865199304934,0.17271339055342,0.112369016902743,0.117687325575272,"TY"
"TY17",0.797892938496583,0.255694760820046,0.0729498861047836,0.265717539863326,0.111332574031891,0.0969817767653759,0.0537585421412301,0.293849658314351,0.160933940774487,0.235592255125285,0.215831435079727,0.349829157175399,0.205694760820046,0.257175398633257,0.511332574031891,0.225398633257403,0.334054669703872,0.0655466970387244,0.162300683371298,0.342995444191344,0.286560364464693,0.118166287015945,0.104897494305239,0.157630979498861,0.174202733485194,0.120785876993166,0.116059225512528,"TY"
"TY18",0.798908915130171,0.255921552378979,0.0756163248394448,0.254609488295007,0.117602375526552,0.088875077688005,0.0550376355224087,0.299634003176576,0.133830536565154,0.234445135004489,0.220426766107313,0.331261653200746,0.215316621780264,0.262896208825357,0.504868448311581,0.206339341205718,0.344727574062565,0.0678820523444514,0.161521994337408,0.360334231061391,0.304329811477108,0.121745735791727,0.108694150956426,0.157171466058974,0.168841930805884,0.119328775637042,0.110075271044817,"TY"
"TY19",0.779561930002338,0.23688518200951,0.0693740743627718,0.274378361524671,0.0954088393483514,0.106009821498168,0.0567464338607842,0.274924000311794,0.158391145061969,0.226907787044976,0.197131498947697,0.332294021357861,0.209837087847845,0.261049185439239,0.493101566762803,0.217865772858368,0.335957596071401,0.0791176241328241,0.173824927897732,0.367059006937407,0.290591628342038,0.130875360511341,0.103905214747837,0.157221919089563,0.176163379842544,0.11380466131421,0.113414919323408,"TY"
